SVM,KNN,ADAB,RF,LGB,XGB,DT,LOGR
"{'SVM__C': 2, 'SVM__gamma': 0.001, 'SVM__kernel': 'rbf', 'fs__n_features_to_select': 24}","{'KNN__n_neighbors': 7, 'KNN__weights': 'distance', 'fs__n_features_to_select': 24}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 100, 'fs__n_features_to_select': 24}","{'RF__max_depth': 3, 'RF__n_estimators': 30, 'fs__n_features_to_select': 24}","{'LGB__max_depth': 1, 'LGB__n_estimators': 10, 'fs__n_features_to_select': 12}","{'XGB__max_depth': 1, 'XGB__n_estimators': 100, 'fs__n_features_to_select': 12}","{'DT__criterion': 'entropy', 'DT__max_depth': 5, 'DT__splitter': 'random', 'fs__n_features_to_select': 24}","{'LOGR__C': 1, 'LOGR__penalty': 'l2', 'fs__n_features_to_select': 24}"
"{'SVM__C': 1, 'SVM__gamma': 0.05, 'SVM__kernel': 'rbf', 'fs__n_features_to_select': 12}","{'KNN__n_neighbors': 7, 'KNN__weights': 'distance', 'fs__n_features_to_select': 36}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 100, 'fs__n_features_to_select': 24}","{'RF__max_depth': 2, 'RF__n_estimators': 30, 'fs__n_features_to_select': 24}","{'LGB__max_depth': 1, 'LGB__n_estimators': 10, 'fs__n_features_to_select': 12}","{'XGB__max_depth': 2, 'XGB__n_estimators': 10, 'fs__n_features_to_select': 24}","{'DT__criterion': 'gini', 'DT__max_depth': 4, 'DT__splitter': 'random', 'fs__n_features_to_select': 24}","{'LOGR__C': 10, 'LOGR__penalty': 'l2', 'fs__n_features_to_select': 36}"
"{'SVM__C': 400, 'SVM__gamma': 0.01, 'SVM__kernel': 'rbf', 'fs__n_features_to_select': 12}","{'KNN__n_neighbors': 11, 'KNN__weights': 'distance', 'fs__n_features_to_select': 24}","{'ADAB__base_estimator__max_depth': 2, 'ADAB__n_estimators': 30, 'fs__n_features_to_select': 12}","{'RF__max_depth': 3, 'RF__n_estimators': 200, 'fs__n_features_to_select': 12}","{'LGB__max_depth': 1, 'LGB__n_estimators': 10, 'fs__n_features_to_select': 12}","{'XGB__max_depth': 3, 'XGB__n_estimators': 30, 'fs__n_features_to_select': 24}","{'DT__criterion': 'entropy', 'DT__max_depth': 4, 'DT__splitter': 'random', 'fs__n_features_to_select': 12}","{'LOGR__C': 5, 'LOGR__penalty': 'l2', 'fs__n_features_to_select': 12}"
"{'SVM__C': 50, 'SVM__gamma': 0.001, 'SVM__kernel': 'rbf', 'fs__n_features_to_select': 12}","{'KNN__n_neighbors': 11, 'KNN__weights': 'distance', 'fs__n_features_to_select': 24}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 100, 'fs__n_features_to_select': 12}","{'RF__max_depth': 2, 'RF__n_estimators': 10, 'fs__n_features_to_select': 24}","{'LGB__max_depth': 1, 'LGB__n_estimators': 10, 'fs__n_features_to_select': 12}","{'XGB__max_depth': 1, 'XGB__n_estimators': 200, 'fs__n_features_to_select': 24}","{'DT__criterion': 'log_loss', 'DT__max_depth': 3, 'DT__splitter': 'random', 'fs__n_features_to_select': 24}","{'LOGR__C': 1, 'LOGR__penalty': 'l2', 'fs__n_features_to_select': 12}"
"{'SVM__C': 2, 'SVM__gamma': 0.01, 'SVM__kernel': 'rbf', 'fs__n_features_to_select': 12}","{'KNN__n_neighbors': 13, 'KNN__weights': 'distance', 'fs__n_features_to_select': 12}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 100, 'fs__n_features_to_select': 12}","{'RF__max_depth': 10, 'RF__n_estimators': 100, 'fs__n_features_to_select': 12}","{'LGB__max_depth': 1, 'LGB__n_estimators': 10, 'fs__n_features_to_select': 12}","{'XGB__max_depth': 1, 'XGB__n_estimators': 200, 'fs__n_features_to_select': 36}","{'DT__criterion': 'gini', 'DT__max_depth': 2, 'DT__splitter': 'best', 'fs__n_features_to_select': 36}","{'LOGR__C': 0.01, 'LOGR__penalty': 'l2', 'fs__n_features_to_select': 24}"
"{'SVM__C': 2, 'SVM__gamma': 0.05, 'SVM__kernel': 'rbf', 'fs__n_features_to_select': 12}","{'KNN__n_neighbors': 13, 'KNN__weights': 'distance', 'fs__n_features_to_select': 24}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 200, 'fs__n_features_to_select': 12}","{'RF__max_depth': 4, 'RF__n_estimators': 200, 'fs__n_features_to_select': 36}","{'LGB__max_depth': 1, 'LGB__n_estimators': 10, 'fs__n_features_to_select': 12}","{'XGB__max_depth': 3, 'XGB__n_estimators': 10, 'fs__n_features_to_select': 12}","{'DT__criterion': 'log_loss', 'DT__max_depth': 5, 'DT__splitter': 'random', 'fs__n_features_to_select': 24}","{'LOGR__C': 0.1, 'LOGR__penalty': 'l2', 'fs__n_features_to_select': 12}"
"{'SVM__C': 200, 'SVM__gamma': 0.001, 'SVM__kernel': 'rbf', 'fs__n_features_to_select': 12}","{'KNN__n_neighbors': 9, 'KNN__weights': 'distance', 'fs__n_features_to_select': 24}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 30, 'fs__n_features_to_select': 24}","{'RF__max_depth': 3, 'RF__n_estimators': 30, 'fs__n_features_to_select': 12}","{'LGB__max_depth': 1, 'LGB__n_estimators': 30, 'fs__n_features_to_select': 12}","{'XGB__max_depth': 1, 'XGB__n_estimators': 200, 'fs__n_features_to_select': 12}","{'DT__criterion': 'entropy', 'DT__max_depth': 4, 'DT__splitter': 'best', 'fs__n_features_to_select': 36}","{'LOGR__C': 1, 'LOGR__penalty': 'l2', 'fs__n_features_to_select': 12}"
"{'SVM__C': 100, 'SVM__gamma': 0.01, 'SVM__kernel': 'rbf', 'fs__n_features_to_select': 12}","{'KNN__n_neighbors': 13, 'KNN__weights': 'distance', 'fs__n_features_to_select': 24}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 100, 'fs__n_features_to_select': 12}","{'RF__max_depth': 3, 'RF__n_estimators': 10, 'fs__n_features_to_select': 12}","{'LGB__max_depth': 1, 'LGB__n_estimators': 30, 'fs__n_features_to_select': 12}","{'XGB__max_depth': 1, 'XGB__n_estimators': 200, 'fs__n_features_to_select': 36}","{'DT__criterion': 'entropy', 'DT__max_depth': 3, 'DT__splitter': 'random', 'fs__n_features_to_select': 12}","{'LOGR__C': 10, 'LOGR__penalty': 'l2', 'fs__n_features_to_select': 12}"
"{'SVM__C': 200, 'SVM__gamma': 0.001, 'SVM__kernel': 'rbf', 'fs__n_features_to_select': 12}","{'KNN__n_neighbors': 13, 'KNN__weights': 'distance', 'fs__n_features_to_select': 12}","{'ADAB__base_estimator__max_depth': 1, 'ADAB__n_estimators': 200, 'fs__n_features_to_select': 24}","{'RF__max_depth': 4, 'RF__n_estimators': 400, 'fs__n_features_to_select': 12}","{'LGB__max_depth': 1, 'LGB__n_estimators': 10, 'fs__n_features_to_select': 24}","{'XGB__max_depth': 1, 'XGB__n_estimators': 200, 'fs__n_features_to_select': 12}","{'DT__criterion': 'entropy', 'DT__max_depth': 3, 'DT__splitter': 'random', 'fs__n_features_to_select': 24}","{'LOGR__C': 1, 'LOGR__penalty': 'l2', 'fs__n_features_to_select': 12}"
"{'SVM__C': 100, 'SVM__gamma': 0.01, 'SVM__kernel': 'rbf', 'fs__n_features_to_select': 12}","{'KNN__n_neighbors': 9, 'KNN__weights': 'distance', 'fs__n_features_to_select': 12}","{'ADAB__base_estimator__max_depth': 2, 'ADAB__n_estimators': 60, 'fs__n_features_to_select': 24}","{'RF__max_depth': 4, 'RF__n_estimators': 30, 'fs__n_features_to_select': 24}","{'LGB__max_depth': 1, 'LGB__n_estimators': 100, 'fs__n_features_to_select': 36}","{'XGB__max_depth': 2, 'XGB__n_estimators': 60, 'fs__n_features_to_select': 36}","{'DT__criterion': 'entropy', 'DT__max_depth': 2, 'DT__splitter': 'random', 'fs__n_features_to_select': 36}","{'LOGR__C': 1, 'LOGR__penalty': 'l2', 'fs__n_features_to_select': 24}"
